all_compressed_bounds_certified,clique_matrix_nnz,clique_matrix_storage_bytes,clique_seconds,clique_solver_iterations,compressed_bound_le_clique_rate,compressed_seconds,family,instance,intervals,maximum_compressed_certificate_gap,maximum_compressed_scaled_certificate_gap,n,seed,speedup,theta_count
True,46597,579408,0.081764792004833,5680,1.0,0.0638798330037389,dense_frontier,dense_frontier_n360_m6_g18_s51,7,8.10034525784431e-05,9.405400859541965e-09,360,51,1.2799781740200744,26
True,46597,579408,0.08170266600791365,5760,1.0,0.06417737499577925,dense_frontier,dense_frontier_n360_m6_g18_s52,7,8.114158663374837e-05,9.441931191383368e-09,360,52,1.2730758466404553,26
True,93179,1158552,0.19368424999993294,11215,1.0,0.12013049999950454,dense_frontier,dense_frontier_n720_m6_g26_s51,7,0.00016184686683118343,9.410990650455985e-09,720,51,1.612282059932588,26
True,93180,1158564,0.19268412500969134,11624,1.0,0.12093941698549315,dense_frontier,dense_frontier_n720_m6_g26_s52,7,0.00016214523566304706,9.434146461229496e-09,720,52,1.5932284925170763,26
True,186343,2316840,0.4598489999771118,22847,1.0,0.24360658301156946,dense_frontier,dense_frontier_n1440_m6_g37_s51,7,0.000322492174746003,9.386017135248815e-09,1440,51,1.887670662640806,26
True,186343,2316840,0.4632634579902515,22423,1.0,0.23183937498833984,dense_frontier,dense_frontier_n1440_m6_g37_s52,7,0.0003255315241403878,9.482772891159845e-09,1440,52,1.9982087081348925,26
True,46547,578808,0.1161681670055259,7401,1.0,0.06281679202220403,correlated_risk,correlated_risk_n360_m6_g18_s51,7,5.0015411943604704e-05,6.656949201716882e-09,360,51,1.849317089679836,26
True,46373,576720,0.11271695798495784,6885,1.0,0.07048762499471195,correlated_risk,correlated_risk_n360_m6_g18_s52,7,5.037589198764181e-05,6.678515538184295e-09,360,52,1.5991027927726886,25
True,93097,1157568,0.27826858300250024,13241,1.0,0.12877758301328868,correlated_risk,correlated_risk_n720_m6_g26_s51,7,9.966513425752055e-05,6.604885586289819e-09,720,51,2.160846449290677,26
True,93122,1157868,0.27995191697846167,13226,1.0,0.12185558400233276,correlated_risk,correlated_risk_n720_m6_g26_s52,7,0.00010069685595226474,6.705870573367297e-09,720,52,2.297407371771345,26
True,186171,2314776,0.7027620000008028,25297,1.0,0.2382239589933306,correlated_risk,correlated_risk_n1440_m6_g37_s51,7,0.00019829886878142133,6.613801406363173e-09,1440,51,2.9500055450781826,26
True,186116,2314116,0.7813203749828972,26200,1.0,0.2659548750089016,correlated_risk,correlated_risk_n1440_m6_g37_s52,7,0.00019840538516291417,6.614505300649595e-09,1440,52,2.9377930182958525,26
True,46591,579336,0.08471008299966343,5960,1.0,0.06327562499791384,near_tie,near_tie_n360_m6_g18_s51,7,5.9675252487068065e-05,9.252238086326996e-09,360,51,1.3387474719128618,26
True,46591,579336,0.08566554100252688,5795,1.0,0.06342004099860787,near_tie,near_tie_n360_m6_g18_s52,7,6.091731847845949e-05,9.461066831307952e-09,360,52,1.350764516289217,26
True,93175,1158504,0.19020608297432773,11399,1.0,0.10821795798256062,near_tie,near_tie_n720_m6_g26_s51,7,0.00012163275277998764,9.427848892304171e-09,720,51,1.7576203295665545,26
True,93175,1158504,0.18341529200552031,11006,1.0,0.11262091700336896,near_tie,near_tie_n720_m6_g26_s52,7,0.00011981077113887295,9.325388774851392e-09,720,52,1.6286076946082193,26
True,186343,2316840,0.45679445800487883,22647,1.0,0.21909266599686816,near_tie,near_tie_n1440_m6_g37_s51,7,0.0002471532679919619,9.607820716037616e-09,1440,51,2.0849372384350304,26
True,186343,2316840,0.43040154202026315,20529,1.0,0.2273693750030361,near_tie,near_tie_n1440_m6_g37_s52,7,0.0002487427700543776,9.672307958896774e-09,1440,52,1.892961802857205,26
True,46803,581880,0.08225387500715442,6057,1.0,0.09338991699041799,many_breakpoints,many_breakpoints_n360_m6_g18_s51,7,5.4267511586658657e-05,7.135753817030818e-09,360,51,0.8807575556105682,1801
True,46803,581880,0.07990604199585505,5699,1.0,0.0950405839830637,many_breakpoints,many_breakpoints_n360_m6_g18_s52,7,5.453199082694482e-05,7.1323768277441696e-09,360,52,0.8407570602690569,1801
True,93603,1163640,0.2292777500115335,13616,1.0,0.19952250001369976,many_breakpoints,many_breakpoints_n720_m6_g26_s51,7,0.00013316111653693952,9.313114812943619e-09,720,51,1.149132303353209,3601
True,93603,1163640,0.2202937080000993,12815,1.0,0.20169212500331923,many_breakpoints,many_breakpoints_n720_m6_g26_s52,7,0.000132579942146549,9.264912613970813e-09,720,52,1.0922276117447518,3601
True,187203,2327160,0.8199151250009891,31782,1.0,0.44855749999987893,many_breakpoints,many_breakpoints_n1440_m6_g37_s51,7,0.0002240597241325304,8.32031366866273e-09,1440,51,1.8278930237510473,7201
True,187203,2327160,0.8033991660049651,32274,1.0,0.4270718339830637,many_breakpoints,many_breakpoints_n1440_m6_g37_s52,7,0.00022372406965587288,8.306017570022681e-09,1440,52,1.8811804059099466,7201
