execution_order,family,instance,method,n,repeat,seconds,seed
second,dense_frontier,dense_frontier_n360_m6_g18_s51,compressed,360,0,0.0639847909915261,51
first,dense_frontier,dense_frontier_n360_m6_g18_s51,compressed,360,1,0.0638798330037389,51
second,dense_frontier,dense_frontier_n360_m6_g18_s51,compressed,360,2,0.0635895419982262,51
first,dense_frontier,dense_frontier_n360_m6_g18_s51,clique,360,0,0.08676704199751839,51
second,dense_frontier,dense_frontier_n360_m6_g18_s51,clique,360,1,0.081764792004833,51
first,dense_frontier,dense_frontier_n360_m6_g18_s51,clique,360,2,0.08076766700833105,51
first,dense_frontier,dense_frontier_n360_m6_g18_s52,compressed,360,0,0.06417737499577925,52
second,dense_frontier,dense_frontier_n360_m6_g18_s52,compressed,360,1,0.06442420798703097,52
first,dense_frontier,dense_frontier_n360_m6_g18_s52,compressed,360,2,0.06377683399477974,52
second,dense_frontier,dense_frontier_n360_m6_g18_s52,clique,360,0,0.08096670801751316,52
first,dense_frontier,dense_frontier_n360_m6_g18_s52,clique,360,1,0.08186995898722671,52
second,dense_frontier,dense_frontier_n360_m6_g18_s52,clique,360,2,0.08170266600791365,52
second,dense_frontier,dense_frontier_n720_m6_g26_s51,compressed,720,0,0.12013049999950454,51
first,dense_frontier,dense_frontier_n720_m6_g26_s51,compressed,720,1,0.12288141599856317,51
second,dense_frontier,dense_frontier_n720_m6_g26_s51,compressed,720,2,0.11986791700473987,51
first,dense_frontier,dense_frontier_n720_m6_g26_s51,clique,720,0,0.19157366701983847,51
second,dense_frontier,dense_frontier_n720_m6_g26_s51,clique,720,1,0.19506325002294034,51
first,dense_frontier,dense_frontier_n720_m6_g26_s51,clique,720,2,0.19368424999993294,51
first,dense_frontier,dense_frontier_n720_m6_g26_s52,compressed,720,0,0.119109582999954,52
second,dense_frontier,dense_frontier_n720_m6_g26_s52,compressed,720,1,0.12093941698549315,52
first,dense_frontier,dense_frontier_n720_m6_g26_s52,compressed,720,2,0.16891420801403,52
second,dense_frontier,dense_frontier_n720_m6_g26_s52,clique,720,0,0.19373075000476092,52
first,dense_frontier,dense_frontier_n720_m6_g26_s52,clique,720,1,0.19268412500969134,52
second,dense_frontier,dense_frontier_n720_m6_g26_s52,clique,720,2,0.19187512499047443,52
second,dense_frontier,dense_frontier_n1440_m6_g37_s51,compressed,1440,0,0.24098762500216253,51
first,dense_frontier,dense_frontier_n1440_m6_g37_s51,compressed,1440,1,0.24844920900068246,51
second,dense_frontier,dense_frontier_n1440_m6_g37_s51,compressed,1440,2,0.24360658301156946,51
first,dense_frontier,dense_frontier_n1440_m6_g37_s51,clique,1440,0,0.4568255420017522,51
second,dense_frontier,dense_frontier_n1440_m6_g37_s51,clique,1440,1,0.4617928750230931,51
first,dense_frontier,dense_frontier_n1440_m6_g37_s51,clique,1440,2,0.4598489999771118,51
first,dense_frontier,dense_frontier_n1440_m6_g37_s52,compressed,1440,0,0.23450233301264234,52
second,dense_frontier,dense_frontier_n1440_m6_g37_s52,compressed,1440,1,0.2317399169842247,52
first,dense_frontier,dense_frontier_n1440_m6_g37_s52,compressed,1440,2,0.23183937498833984,52
