configuration,execution_order,family,instance,interval_splits,lower_bound,method,n,relative_gap,repeat,root_upper_bound,seconds,seed,status,theta_lp_evaluations,upper_bound
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9029.8195806245,compressed,360,1.2650588809968172e-13,0,9029.819580625643,0.3627581670007203,11,tolerance,12,9029.819580625643
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9029.8195806245,compressed,360,1.2650588809968172e-13,1,9029.819580625643,0.362420416000532,11,tolerance,12,9029.819580625643
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9029.8195806245,compressed,360,1.2650588809968172e-13,2,9029.819580625643,0.35910412500379607,11,tolerance,12,9029.819580625643
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9029.8195806245,compressed,360,1.2650588809968172e-13,3,9029.819580625643,0.36069429098279215,11,tolerance,12,9029.819580625643
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9029.8195806245,compressed,360,1.2650588809968172e-13,4,9029.819580625643,0.3591282920097001,11,tolerance,12,9029.819580625643
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9029.8195806245,clique,360,0.0,0,9038.334587804695,0.3891095829894766,11,exact,12,9029.8195806245
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9029.8195806245,clique,360,0.0,1,9038.334587804695,0.389334332983708,11,exact,12,9029.8195806245
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9029.8195806245,clique,360,0.0,2,9038.334587804695,0.38705870797275566,11,exact,12,9029.8195806245
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9029.8195806245,clique,360,0.0,3,9038.334587804695,0.3870524169760756,11,exact,12,9029.8195806245
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9029.8195806245,clique,360,0.0,4,9038.334587804695,0.3869488330092281,11,exact,12,9029.8195806245
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s12,3,9018.218983885006,compressed,360,8.211273062971351e-13,0,9018.218983892411,0.35917099998914637,12,tolerance,12,9018.218983892411
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s12,3,9018.218983885006,compressed,360,8.211273062971351e-13,1,9018.218983892411,0.36165479201008566,12,tolerance,12,9018.218983892411
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s12,3,9018.218983885006,compressed,360,8.211273062971351e-13,2,9018.218983892411,0.3610108749999199,12,tolerance,12,9018.218983892411
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s12,3,9018.218983885006,compressed,360,8.211273062971351e-13,3,9018.218983892411,0.3602254170109518,12,tolerance,12,9018.218983892411
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s12,3,9018.218983885006,compressed,360,8.211273062971351e-13,4,9018.218983892411,0.3592536659853067,12,tolerance,12,9018.218983892411
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s12,4,9018.218983885006,clique,360,0.0,0,9026.788731911412,0.39203304098919034,12,exact,12,9018.218983885006
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s12,4,9018.218983885006,clique,360,0.0,1,9026.788731911412,0.3910112500016112,12,exact,12,9018.218983885006
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s12,4,9018.218983885006,clique,360,0.0,2,9026.788731911412,0.38758291699923575,12,exact,12,9018.218983885006
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s12,4,9018.218983885006,clique,360,0.0,3,9026.788731911412,0.38997666601790115,12,exact,12,9018.218983885006
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s12,4,9018.218983885006,clique,360,0.0,4,9026.788731911412,0.38837737499852665,12,exact,12,9018.218983885006
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s13,3,9030.302900614979,compressed,360,1.5892962342381034e-13,0,9030.302900616414,0.3601947080169339,13,tolerance,12,9030.302900616414
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s13,3,9030.302900614979,compressed,360,1.5892962342381034e-13,1,9030.302900616414,0.3617177499982063,13,tolerance,12,9030.302900616414
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s13,3,9030.302900614979,compressed,360,1.5892962342381034e-13,2,9030.302900616414,0.35826474998611957,13,tolerance,12,9030.302900616414
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s13,3,9030.302900614979,compressed,360,1.5892962342381034e-13,3,9030.302900616414,0.3583688329963479,13,tolerance,12,9030.302900616414
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s13,3,9030.302900614979,compressed,360,1.5892962342381034e-13,4,9030.302900616414,0.3581010839843657,13,tolerance,12,9030.302900616414
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s13,4,9030.302900614979,clique,360,1.0071585768302303e-15,0,9039.474023286311,0.38580337501480244,13,tolerance,12,9030.302900614988
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s13,4,9030.302900614979,clique,360,1.0071585768302303e-15,1,9039.474023286311,0.39131145901046693,13,tolerance,12,9030.302900614988
