family,groups,seed,repeat,order_index,method,status,certified,objective,upper_bound,relative_gap,seconds,nodes,theta_integer_solves,interval_bound_evaluations,interval_splits,thresholds_covered_by_prunes
dense_frontier,30,0,0,0,enumeration,optimal,True,732.3416010978427,732.3416010978427,0.0,0.4370300410082564,93,3,0,0,23
dense_frontier,30,0,0,1,scip,optimal,True,732.3416010978427,732.3416010978427,0.0,0.089257165993331,1,0,0,0,0
dense_frontier,30,0,0,2,envelope,optimal,True,732.3416010978427,732.3416010978427,0.0,0.8022776659927331,93,6,11,5,23
dense_frontier,30,0,0,3,clique,optimal,True,732.3416010978427,732.3416010978427,0.0,0.4090552910056431,93,6,11,5,23
dense_frontier,30,0,1,0,scip,optimal,True,732.3416010978427,732.3416010978427,0.0,0.03947829199023545,1,0,0,0,0
dense_frontier,30,0,1,1,envelope,optimal,True,732.3416010978427,732.3416010978427,0.0,0.8135396249999758,93,6,11,5,23
dense_frontier,30,0,1,2,clique,optimal,True,732.3416010978427,732.3416010978427,0.0,0.4041213339951355,93,6,11,5,23
dense_frontier,30,0,1,3,enumeration,optimal,True,732.3416010978427,732.3416010978427,0.0,0.45503079099580646,93,3,0,0,23
dense_frontier,30,1,0,0,scip,optimal,True,731.600839350222,731.600839350222,0.0,0.018387208023341373,1,0,0,0,0
dense_frontier,30,1,0,1,envelope,optimal,True,731.600839350222,731.600839350222,0.0,0.6989609579904936,62,5,11,5,24
dense_frontier,30,1,0,2,clique,optimal,True,731.600839350222,731.600839350222,0.0,0.29682483299984597,62,5,11,5,24
dense_frontier,30,1,0,3,enumeration,optimal,True,731.600839350222,731.600839350222,0.0,0.3391664169903379,62,2,0,0,24
dense_frontier,30,1,1,0,envelope,optimal,True,731.600839350222,731.600839350222,0.0,0.6953585000010207,62,5,11,5,24
dense_frontier,30,1,1,1,clique,optimal,True,731.600839350222,731.600839350222,0.0,0.2741587499913294,62,5,11,5,24
dense_frontier,30,1,1,2,enumeration,optimal,True,731.600839350222,731.600839350222,0.0,0.32322754099732265,62,2,0,0,24
dense_frontier,30,1,1,3,scip,optimal,True,731.600839350222,731.600839350222,0.0,0.017747000005329028,1,0,0,0,0
