configuration,execution_order,family,instance,interval_splits,lower_bound,method,n,relative_gap,repeat,root_upper_bound,seconds,seed,status,theta_lp_evaluations,upper_bound
application,second,uci_online_retail,uci_online_retail_n360_s61,5,6748.443465221071,compressed,360,3.221027705780878e-14,0,6748.4434652212885,0.9585784999944735,61,tolerance,18,6748.4434652212885
application,first,uci_online_retail,uci_online_retail_n360_s61,5,6748.443465221071,compressed,360,3.221027705780878e-14,1,6748.4434652212885,0.9569352919934317,61,tolerance,18,6748.4434652212885
application,second,uci_online_retail,uci_online_retail_n360_s61,5,6748.443465221071,compressed,360,3.221027705780878e-14,2,6748.4434652212885,0.9604032080096658,61,tolerance,18,6748.4434652212885
application,first,uci_online_retail,uci_online_retail_n360_s61,8,6748.443465221071,clique,360,9.648210412747189e-07,0,6748.873219664619,0.2517487080185674,61,tolerance,27,6748.449976261322
application,second,uci_online_retail,uci_online_retail_n360_s61,8,6748.443465221071,clique,360,9.648210412747189e-07,1,6748.873219664619,0.2441605839994736,61,tolerance,27,6748.449976261322
application,first,uci_online_retail,uci_online_retail_n360_s61,8,6748.443465221071,clique,360,9.648210412747189e-07,2,6748.873219664619,0.2424884999927599,61,tolerance,27,6748.449976261322
application,first,uci_online_retail,uci_online_retail_n360_s62,9,6943.202224112982,compressed,360,6.299210263769303e-12,0,6943.205805703827,1.4299185829877388,62,tolerance,30,6943.202224156718
application,second,uci_online_retail,uci_online_retail_n360_s62,9,6943.202224112982,compressed,360,6.299210263769303e-12,1,6943.205805703827,1.4385848749952856,62,tolerance,30,6943.202224156718
application,first,uci_online_retail,uci_online_retail_n360_s62,9,6943.202224112982,compressed,360,6.299210263769303e-12,2,6943.205805703827,1.4283174580195919,62,tolerance,30,6943.202224156718
application,second,uci_online_retail,uci_online_retail_n360_s62,9,6943.202224112982,clique,360,6.241588791644525e-08,0,6944.581746937854,0.26108366600237787,62,tolerance,30,6943.202657479113
application,first,uci_online_retail,uci_online_retail_n360_s62,9,6943.202224112982,clique,360,6.241588791644525e-08,1,6944.581746937854,0.262113708013203,62,tolerance,30,6943.202657479113
application,second,uci_online_retail,uci_online_retail_n360_s62,9,6943.202224112982,clique,360,6.241588791644525e-08,2,6944.581746937854,0.2650216660113074,62,tolerance,30,6943.202657479113
application,second,uci_online_retail,uci_online_retail_n360_s63,7,7207.114304003444,compressed,360,4.4222100583457965e-07,0,7207.117491140781,0.9654757910175249,63,tolerance,24,7207.117491140781
application,first,uci_online_retail,uci_online_retail_n360_s63,7,7207.114304003444,compressed,360,4.4222100583457965e-07,1,7207.117491140781,0.9636253750068136,63,tolerance,24,7207.117491140781
application,second,uci_online_retail,uci_online_retail_n360_s63,7,7207.114304003444,compressed,360,4.4222100583457965e-07,2,7207.117491140781,0.9683849579887465,63,tolerance,24,7207.117491140781
application,first,uci_online_retail,uci_online_retail_n360_s63,8,7207.117491134585,clique,360,0.0,0,7208.359175273916,0.23788433300796896,63,exact,27,7207.117491134585
application,second,uci_online_retail,uci_online_retail_n360_s63,8,7207.117491134585,clique,360,0.0,1,7208.359175273916,0.23514966599759646,63,exact,27,7207.117491134585
application,first,uci_online_retail,uci_online_retail_n360_s63,8,7207.117491134585,clique,360,0.0,2,7208.359175273916,0.23529683399829082,63,exact,27,7207.117491134585
application,second,uci_online_retail,uci_online_retail_n720_s61,6,13894.621510162795,compressed,720,6.953102911141214e-08,0,13894.622476270128,2.0949792500177864,61,tolerance,21,13894.622476270128
application,first,uci_online_retail,uci_online_retail_n720_s61,6,13894.621510162795,compressed,720,6.953102911141214e-08,1,13894.622476270128,2.0459908750199247,61,tolerance,21,13894.622476270128
application,second,uci_online_retail,uci_online_retail_n720_s61,6,13894.621510162795,compressed,720,6.953102911141214e-08,2,13894.622476270128,2.040800250018947,61,tolerance,21,13894.622476270128
application,first,uci_online_retail,uci_online_retail_n720_s61,8,13894.62237054721,clique,720,7.905178321569601e-07,0,13895.70652667129,0.5169093750009779,61,tolerance,27,13894.633354493964
application,second,uci_online_retail,uci_online_retail_n720_s61,8,13894.62237054721,clique,720,7.905178321569601e-07,1,13895.70652667129,0.5154039160115644,61,tolerance,27,13894.633354493964
application,first,uci_online_retail,uci_online_retail_n720_s61,8,13894.62237054721,clique,720,7.905178321569601e-07,2,13895.70652667129,0.514297916990472,61,tolerance,27,13894.633354493964
application,first,uci_online_retail,uci_online_retail_n720_s62,6,13925.319701949375,compressed,720,3.0987902011602506e-08,0,13925.320133465817,1.9186858339817263,62,tolerance,21,13925.320133465817
application,second,uci_online_retail,uci_online_retail_n720_s62,6,13925.319701949375,compressed,720,3.0987902011602506e-08,1,13925.320133465817,1.9176749590260442,62,tolerance,21,13925.320133465817
application,first,uci_online_retail,uci_online_retail_n720_s62,6,13925.319701949375,compressed,720,3.0987902011602506e-08,2,13925.320133465817,1.9057456660084426,62,tolerance,21,13925.320133465817
application,second,uci_online_retail,uci_online_retail_n720_s62,9,13925.319701949375,clique,720,8.097049016699771e-07,0,13927.373424939877,0.5889833330002148,62,tolerance,30,13925.330977348995
application,first,uci_online_retail,uci_online_retail_n720_s62,9,13925.319701949375,clique,720,8.097049016699771e-07,1,13927.373424939877,0.5886659170209896,62,tolerance,30,13925.330977348995
application,second,uci_online_retail,uci_online_retail_n720_s62,9,13925.319701949375,clique,720,8.097049016699771e-07,2,13927.373424939877,0.5960512499732431,62,tolerance,30,13925.330977348995
application,second,uci_online_retail,uci_online_retail_n720_s63,8,13541.283349035568,compressed,720,8.545098963042096e-08,0,13541.284506151631,2.3648794580076355,63,tolerance,27,13541.284506151631
application,first,uci_online_retail,uci_online_retail_n720_s63,8,13541.283349035568,compressed,720,8.545098963042096e-08,1,13541.284506151631,2.265937791991746,63,tolerance,27,13541.284506151631
application,second,uci_online_retail,uci_online_retail_n720_s63,8,13541.283349035568,compressed,720,8.545098963042096e-08,2,13541.284506151631,2.2650369170005433,63,tolerance,27,13541.284506151631
application,first,uci_online_retail,uci_online_retail_n720_s63,9,13541.284506151336,clique,720,3.850851167822866e-07,0,13543.72941411399,0.5829044579877518,63,tolerance,30,13541.289720698462
application,second,uci_online_retail,uci_online_retail_n720_s63,9,13541.284506151336,clique,720,3.850851167822866e-07,1,13543.72941411399,0.592825375002576,63,tolerance,30,13541.289720698462
application,first,uci_online_retail,uci_online_retail_n720_s63,9,13541.284506151336,clique,720,3.850851167822866e-07,2,13543.72941411399,0.5921241669857409,63,tolerance,30,13541.289720698462
application,second,uci_online_retail,uci_online_retail_n1440_s61,9,29405.320142815155,compressed,1440,8.425222223723334e-14,0,29405.320142817633,4.990740334003931,61,tolerance,30,29405.320142817633
application,first,uci_online_retail,uci_online_retail_n1440_s61,9,29405.320142815155,compressed,1440,8.425222223723334e-14,1,29405.320142817633,4.994603625003947,61,tolerance,30,29405.320142817633
application,second,uci_online_retail,uci_online_retail_n1440_s61,9,29405.320142815155,compressed,1440,8.425222223723334e-14,2,29405.320142817633,5.046811874984996,61,tolerance,30,29405.320142817633
application,first,uci_online_retail,uci_online_retail_n1440_s61,9,29405.320142815155,clique,1440,6.185919400677925e-16,0,29408.54021460091,1.196656709013041,61,tolerance,30,29405.320142815173
application,second,uci_online_retail,uci_online_retail_n1440_s61,9,29405.320142815155,clique,1440,6.185919400677925e-16,1,29408.54021460091,1.1891569590079598,61,tolerance,30,29405.320142815173
application,first,uci_online_retail,uci_online_retail_n1440_s61,9,29405.320142815155,clique,1440,6.185919400677925e-16,2,29408.54021460091,1.1861711250094231,61,tolerance,30,29405.320142815173
application,first,uci_online_retail,uci_online_retail_n1440_s62,8,28573.74150737516,compressed,1440,4.60894604169105e-14,0,28573.74150737648,5.10320512499311,62,tolerance,27,28573.74150737648
application,second,uci_online_retail,uci_online_retail_n1440_s62,8,28573.74150737516,compressed,1440,4.60894604169105e-14,1,28573.74150737648,5.102777916996274,62,tolerance,27,28573.74150737648
application,first,uci_online_retail,uci_online_retail_n1440_s62,8,28573.74150737516,compressed,1440,4.60894604169105e-14,2,28573.74150737648,5.088473292009439,62,tolerance,27,28573.74150737648
application,second,uci_online_retail,uci_online_retail_n1440_s62,10,28573.74150737516,clique,1440,0.0,0,28576.996070012443,1.3179390830046032,62,tolerance,33,28573.74150737516
application,first,uci_online_retail,uci_online_retail_n1440_s62,10,28573.74150737516,clique,1440,0.0,1,28576.996070012443,1.3192956669954583,62,tolerance,33,28573.74150737516
application,second,uci_online_retail,uci_online_retail_n1440_s62,10,28573.74150737516,clique,1440,0.0,2,28576.996070012443,1.3126184589928016,62,tolerance,33,28573.74150737516
application,second,uci_online_retail,uci_online_retail_n1440_s63,4,27117.577634261514,compressed,1440,8.86715967660242e-07,0,27117.601679850606,3.0331052920082584,63,tolerance,15,27117.601679850606
application,first,uci_online_retail,uci_online_retail_n1440_s63,4,27117.577634261514,compressed,1440,8.86715967660242e-07,1,27117.601679850606,3.039656749984715,63,tolerance,15,27117.601679850606
application,second,uci_online_retail,uci_online_retail_n1440_s63,4,27117.577634261514,compressed,1440,8.86715967660242e-07,2,27117.601679850606,3.185266708023846,63,tolerance,15,27117.601679850606
application,first,uci_online_retail,uci_online_retail_n1440_s63,13,27117.592426567342,clique,1440,8.379104751211876e-07,0,27122.5779654825,1.726553291984601,63,tolerance,42,27117.615148682096
application,second,uci_online_retail,uci_online_retail_n1440_s63,13,27117.592426567342,clique,1440,8.379104751211876e-07,1,27122.5779654825,1.6601517920207698,63,tolerance,42,27117.615148682096
application,first,uci_online_retail,uci_online_retail_n1440_s63,13,27117.592426567342,clique,1440,8.379104751211876e-07,2,27122.5779654825,1.713361458008876,63,tolerance,42,27117.615148682096
