configuration,execution_order,family,instance,interval_splits,lower_bound,method,n,relative_gap,repeat,root_upper_bound,seconds,seed,status,theta_lp_evaluations,upper_bound
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=1000_seed=31,8,1898268.6718606781,compressed,1000,1.784527967920616e-07,0,2053804.5657441583,0.2593844579823781,31,tolerance,27,1898269.0106120317
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=1000_seed=31,8,1898268.6718606781,compressed,1000,1.784527967920616e-07,1,2053804.5657441583,0.25513341699843295,31,tolerance,27,1898269.0106120317
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=1000_seed=31,10,1898268.6718606781,clique,1000,5.758101365519639e-07,0,2190717.2842750717,0.46087499998975545,31,tolerance,33,1898269.7649030213
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=1000_seed=31,10,1898268.6718606781,clique,1000,5.758101365519639e-07,1,2190717.2842750717,0.43667412499780767,31,tolerance,33,1898269.7649030213
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=1000_seed=32,12,1893604.2620251335,compressed,1000,8.528663199584655e-08,0,2043562.56981077,0.328615540987812,32,tolerance,36,1893604.4235242633
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=1000_seed=32,12,1893604.2620251335,compressed,1000,8.528663199584655e-08,1,2043562.56981077,0.3237894170160871,32,tolerance,36,1893604.4235242633
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=1000_seed=32,14,1893604.2620251335,clique,1000,8.528594024349498e-08,0,2184240.070268751,0.5292085840192158,32,tolerance,42,1893604.4235229534
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=1000_seed=32,14,1893604.2620251335,clique,1000,8.528594024349498e-08,1,2184240.070268751,0.5279686659923755,32,tolerance,42,1893604.4235229534
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=1000_seed=33,13,1893232.7580066773,compressed,1000,9.340034631400631e-07,0,2042514.0780059558,0.3190522919758223,33,tolerance,36,1893234.5262926298
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=1000_seed=33,13,1893232.7580066773,compressed,1000,9.340034631400631e-07,1,2042514.0780059558,0.31817016698187217,33,tolerance,36,1893234.5262926298
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=1000_seed=33,16,1893232.7580066773,clique,1000,0.0,0,2182247.4279947886,0.5504340420011431,33,tolerance,43,1893232.7580066773
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=1000_seed=33,16,1893232.7580066773,clique,1000,0.0,1,2182247.4279947886,0.546618041000329,33,tolerance,43,1893232.7580066773
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=5000_seed=41,11,4119097.4147265833,compressed,5000,3.8149559845532355e-07,0,4561962.946707929,1.4860173340130132,41,tolerance,36,4119098.9861441166
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=5000_seed=41,11,4119097.4147265833,compressed,5000,3.8149559845532355e-07,1,4561962.946707929,1.4731270839984063,41,tolerance,36,4119098.9861441166
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=5000_seed=41,14,4119097.4147265833,clique,5000,6.723155281693942e-07,0,4748023.03229161,4.372971917007817,41,tolerance,45,4119100.1840597373
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=5000_seed=41,14,4119097.4147265833,clique,5000,6.723155281693942e-07,1,4748023.03229161,4.322557040984975,41,tolerance,45,4119100.1840597373
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=5000_seed=42,9,4108191.3000522736,compressed,5000,8.757740402900112e-08,0,4557108.489510766,1.3371024579973891,42,tolerance,30,4108191.659837003
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=5000_seed=42,9,4108191.3000522736,compressed,5000,8.757740402900112e-08,1,4557108.489510766,1.2475195000006352,42,tolerance,30,4108191.659837003
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=5000_seed=42,12,4108191.3000522736,clique,5000,3.5873846768383865e-07,0,4741513.930070367,3.935340416006511,42,tolerance,39,4108192.7738185255
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=5000_seed=42,12,4108191.3000522736,clique,5000,3.5873846768383865e-07,1,4741513.930070367,3.949812999984715,42,tolerance,39,4108192.7738185255
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=5000_seed=43,9,4111811.2172584054,compressed,5000,6.805437448922905e-07,0,4559658.109778856,1.3014856249792501,43,tolerance,30,4111814.0155258095
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=5000_seed=43,9,4111811.2172584054,compressed,5000,6.805437448922905e-07,1,4559658.109778856,1.2759741250192747,43,tolerance,30,4111814.0155258095
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=5000_seed=43,13,4111814.0155257583,clique,5000,8.665120344530613e-07,0,4748523.006014918,4.171455542003969,43,tolerance,42,4111817.578462086
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=5000_seed=43,13,4111814.0155257583,clique,5000,8.665120344530613e-07,1,4748523.006014918,4.158273458015174,43,tolerance,42,4111817.578462086
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=10000_seed=51,11,4328855.414934835,compressed,10000,4.965455677749795e-07,0,4756941.923033935,3.089303666987689,51,tolerance,35,4328857.564408805
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=10000_seed=51,11,4328855.414934835,compressed,10000,4.965455677749795e-07,1,4756941.923033935,3.0730099590145983,51,tolerance,35,4328857.564408805
