configuration,execution_order,family,instance,interval_splits,lower_bound,method,n,relative_gap,repeat,root_upper_bound,seconds,seed,status,theta_lp_evaluations,upper_bound
stress,second,dense_frontier,dense_frontier_n2880_m6_g53_s41,0,72736.55841874659,compressed,2880,7.382335425267293e-14,0,72736.55841875196,0.25361275000614114,41,tolerance,3,72736.55841875196
stress,first,dense_frontier,dense_frontier_n2880_m6_g53_s41,0,72736.55841874659,compressed,2880,7.382335425267293e-14,1,72736.55841875196,0.252622333006002,41,tolerance,3,72736.55841875196
stress,first,dense_frontier,dense_frontier_n2880_m6_g53_s41,2,72736.55841874659,clique,2880,0.0,0,72749.4486654535,1.2072740420117043,41,exact,9,72736.55841874659
stress,second,dense_frontier,dense_frontier_n2880_m6_g53_s41,2,72736.55841874659,clique,2880,0.0,1,72749.4486654535,1.1995483329810668,41,exact,9,72736.55841874659
stress,second,dense_frontier,dense_frontier_n5760_m6_g75_s41,0,145670.98003608067,compressed,5760,3.1567064428515305e-14,0,145670.98003608527,0.5091200000024401,41,tolerance,3,145670.98003608527
stress,first,dense_frontier,dense_frontier_n5760_m6_g75_s41,0,145670.98003608067,compressed,5760,3.1567064428515305e-14,1,145670.98003608527,0.5074799160065595,41,tolerance,3,145670.98003608527
stress,first,dense_frontier,dense_frontier_n5760_m6_g75_s41,2,145670.98003608067,clique,5760,0.0,0,145679.29548142126,3.3258690000220668,41,exact,9,145670.98003608067
stress,second,dense_frontier,dense_frontier_n5760_m6_g75_s41,2,145670.98003608067,clique,5760,0.0,1,145679.29548142126,3.304979291977361,41,exact,9,145670.98003608067
stress,second,correlated_risk,correlated_risk_n2880_m6_g53_s41,2,62744.69372976884,compressed,2880,8.233253840267433e-15,0,62746.12776722129,0.47994170800666325,41,tolerance,9,62744.69372976936
stress,first,correlated_risk,correlated_risk_n2880_m6_g53_s41,2,62744.69372976884,compressed,2880,8.233253840267433e-15,1,62746.12776722129,0.47853725001914427,41,tolerance,9,62744.69372976936
stress,first,correlated_risk,correlated_risk_n2880_m6_g53_s41,4,62744.69372976884,clique,2880,0.0,0,62861.04815103051,2.814820208004676,41,exact,15,62744.69372976884
stress,second,correlated_risk,correlated_risk_n2880_m6_g53_s41,4,62744.69372976884,clique,2880,0.0,1,62861.04815103051,2.8700324579840526,41,exact,15,62744.69372976884
stress,second,correlated_risk,correlated_risk_n5760_m6_g75_s41,3,125648.5617770118,compressed,5760,6.242397204680736e-14,0,125650.51744038535,1.1998831669916399,41,tolerance,12,125648.56177701964
stress,first,correlated_risk,correlated_risk_n5760_m6_g75_s41,3,125648.5617770118,compressed,5760,6.242397204680736e-14,1,125650.51744038535,1.197297791019082,41,tolerance,12,125648.56177701964
stress,first,correlated_risk,correlated_risk_n5760_m6_g75_s41,3,125648.5617770118,clique,5760,0.0,0,125800.35020056929,10.663835207989905,41,tolerance,12,125648.5617770118
stress,second,correlated_risk,correlated_risk_n5760_m6_g75_s41,3,125648.5617770118,clique,5760,0.0,1,125800.35020056929,10.452604666003026,41,tolerance,12,125648.5617770118
stress,second,near_tie,near_tie_n2880_m6_g53_s41,0,53334.39883924523,compressed,2880,7.585034277182516e-14,0,53334.398839249276,0.23891375001403503,41,tolerance,3,53334.398839249276
stress,first,near_tie,near_tie_n2880_m6_g53_s41,0,53334.39883924523,compressed,2880,7.585034277182516e-14,1,53334.398839249276,0.2398187500075437,41,tolerance,3,53334.398839249276
stress,first,near_tie,near_tie_n2880_m6_g53_s41,3,53334.39883924523,clique,2880,0.0,0,53351.303891355354,1.3157959590025712,41,exact,12,53334.39883924523
stress,second,near_tie,near_tie_n2880_m6_g53_s41,3,53334.39883924523,clique,2880,0.0,1,53351.303891355354,1.3201565420022234,41,exact,12,53334.39883924523
stress,second,near_tie,near_tie_n5760_m6_g75_s41,0,107178.38889048572,compressed,5760,2.132991460351548e-13,0,107178.38889050858,0.4832455829891842,41,tolerance,3,107178.38889050858
