panel,instance,family,configuration,n,menu_size,gamma,threshold_count,breakpoints_per_group,clique_iterations_per_bound,adaptive_speedup,compressed_theta_fraction,clique_theta_fraction
Primary,dense_frontier_n360_m6_g18_s11,dense_frontier,primary,360,6,18,26,0.07222222222222222,783.125,1.5166905585763262,0.46153846153846156,0.46153846153846156
Primary,dense_frontier_n360_m6_g18_s12,dense_frontier,primary,360,6,18,26,0.07222222222222222,786.5,1.5462169587003542,0.46153846153846156,0.46153846153846156
Primary,dense_frontier_n360_m6_g18_s13,dense_frontier,primary,360,6,18,26,0.07222222222222222,777.375,1.530763193877553,0.46153846153846156,0.46153846153846156
Primary,dense_frontier_n360_m6_g18_s14,dense_frontier,primary,360,6,18,26,0.07222222222222222,797.375,1.5015953449738302,0.46153846153846156,0.46153846153846156
Primary,dense_frontier_n360_m6_g18_s15,dense_frontier,primary,360,6,18,26,0.07222222222222222,810.875,1.5211017774672069,0.46153846153846156,0.46153846153846156
Primary,dense_frontier_n720_m6_g26_s11,dense_frontier,primary,720,6,26,26,0.03611111111111111,1628.5,1.8588540371398266,0.46153846153846156,0.46153846153846156
Primary,dense_frontier_n720_m6_g26_s12,dense_frontier,primary,720,6,26,26,0.03611111111111111,1657.7142857142858,3.851082655344786,0.11538461538461539,0.46153846153846156
Primary,dense_frontier_n720_m6_g26_s13,dense_frontier,primary,720,6,26,26,0.03611111111111111,1644.5,4.2592384918163715,0.11538461538461539,0.46153846153846156
Primary,dense_frontier_n720_m6_g26_s14,dense_frontier,primary,720,6,26,26,0.03611111111111111,1630.375,4.342030401041874,0.11538461538461539,0.46153846153846156
Primary,dense_frontier_n720_m6_g26_s15,dense_frontier,primary,720,6,26,26,0.03611111111111111,1654.625,4.345744649818534,0.11538461538461539,0.46153846153846156
Primary,dense_frontier_n1440_m6_g37_s11,dense_frontier,primary,1440,6,37,26,0.018055555555555554,3319.285714285714,4.503486497783032,0.11538461538461539,0.46153846153846156
Primary,dense_frontier_n1440_m6_g37_s12,dense_frontier,primary,1440,6,37,26,0.018055555555555554,3312.1428571428573,4.69110061284203,0.11538461538461539,0.46153846153846156
Primary,dense_frontier_n1440_m6_g37_s13,dense_frontier,primary,1440,6,37,26,0.018055555555555554,3334.714285714286,4.644718821975024,0.11538461538461539,0.46153846153846156
Primary,dense_frontier_n1440_m6_g37_s14,dense_frontier,primary,1440,6,37,26,0.018055555555555554,3331.8571428571427,4.619403869158178,0.11538461538461539,0.46153846153846156
Primary,dense_frontier_n1440_m6_g37_s15,dense_frontier,primary,1440,6,37,26,0.018055555555555554,3367.8571428571427,4.633096913077819,0.11538461538461539,0.46153846153846156
Primary,correlated_risk_n360_m6_g18_s11,correlated_risk,primary,360,6,18,26,0.07222222222222222,898.1,2.172292753555046,0.46153846153846156,0.5
Primary,correlated_risk_n360_m6_g18_s12,correlated_risk,primary,360,6,18,26,0.07222222222222222,947.875,1.929093670235467,0.46153846153846156,0.46153846153846156
Primary,correlated_risk_n360_m6_g18_s13,correlated_risk,primary,360,6,18,26,0.07222222222222222,889.9,2.1250864475750277,0.46153846153846156,0.5
Primary,correlated_risk_n360_m6_g18_s14,correlated_risk,primary,360,6,18,25,0.06944444444444445,904.75,1.695675435817584,0.48,0.48
Primary,correlated_risk_n360_m6_g18_s15,correlated_risk,primary,360,6,18,26,0.07222222222222222,929.375,1.8782342341953375,0.46153846153846156,0.46153846153846156
Primary,correlated_risk_n720_m6_g26_s11,correlated_risk,primary,720,6,26,26,0.03611111111111111,1697.875,2.519938139907828,0.46153846153846156,0.46153846153846156
Primary,correlated_risk_n720_m6_g26_s12,correlated_risk,primary,720,6,26,26,0.03611111111111111,1796.875,2.771822361899018,0.46153846153846156,0.46153846153846156
Primary,correlated_risk_n720_m6_g26_s13,correlated_risk,primary,720,6,26,26,0.03611111111111111,1822.0,2.8593147847660156,0.46153846153846156,0.46153846153846156
Primary,correlated_risk_n720_m6_g26_s14,correlated_risk,primary,720,6,26,26,0.03611111111111111,1771.625,2.6689921240665884,0.46153846153846156,0.46153846153846156
Primary,correlated_risk_n720_m6_g26_s15,correlated_risk,primary,720,6,26,26,0.03611111111111111,1798.375,2.3721727766525835,0.46153846153846156,0.46153846153846156
Primary,correlated_risk_n1440_m6_g37_s11,correlated_risk,primary,1440,6,37,26,0.018055555555555554,3515.5,3.204803995662713,0.46153846153846156,0.46153846153846156
Primary,correlated_risk_n1440_m6_g37_s12,correlated_risk,primary,1440,6,37,26,0.018055555555555554,3554.0,5.521832425292905,0.23076923076923078,0.46153846153846156
Primary,correlated_risk_n1440_m6_g37_s13,correlated_risk,primary,1440,6,37,26,0.018055555555555554,3353.375,3.3600566544436035,0.46153846153846156,0.46153846153846156
Primary,correlated_risk_n1440_m6_g37_s14,correlated_risk,primary,1440,6,37,26,0.018055555555555554,3715.75,5.935127808805456,0.23076923076923078,0.46153846153846156
Primary,correlated_risk_n1440_m6_g37_s15,correlated_risk,primary,1440,6,37,26,0.018055555555555554,3409.0,2.8938485248384844,0.46153846153846156,0.46153846153846156
Primary,near_tie_n360_m6_g18_s11,near_tie,primary,360,6,18,26,0.07222222222222222,806.625,1.6498634913041164,0.46153846153846156,0.46153846153846156
Primary,near_tie_n360_m6_g18_s12,near_tie,primary,360,6,18,26,0.07222222222222222,740.125,1.5652925547741494,0.46153846153846156,0.46153846153846156
Primary,near_tie_n360_m6_g18_s13,near_tie,primary,360,6,18,26,0.07222222222222222,749.2857142857143,3.0484035164008128,0.11538461538461539,0.46153846153846156
Primary,near_tie_n360_m6_g18_s14,near_tie,primary,360,6,18,26,0.07222222222222222,754.8571428571429,1.7094495599357182,0.34615384615384615,0.46153846153846156
Primary,near_tie_n360_m6_g18_s15,near_tie,primary,360,6,18,26,0.07222222222222222,780.0,1.4459875373190758,0.46153846153846156,0.46153846153846156
