configuration,execution_order,family,instance,interval_splits,lower_bound,method,n,relative_gap,repeat,root_upper_bound,seconds,seed,status,theta_lp_evaluations,upper_bound
application,second,uci_online_retail,uci_online_retail_n360_s61,5,6748.443465221075,compressed,360,2.8841001214941735e-14,0,6748.443465221269,0.3406847909791395,61,tolerance,18,6748.443465221269
application,first,uci_online_retail,uci_online_retail_n360_s61,5,6748.443465221075,compressed,360,2.8841001214941735e-14,1,6748.443465221269,0.3410732080228627,61,tolerance,18,6748.443465221269
application,second,uci_online_retail,uci_online_retail_n360_s61,5,6748.443465221075,compressed,360,2.8841001214941735e-14,2,6748.443465221269,0.3401708329329267,61,tolerance,18,6748.443465221269
application,first,uci_online_retail,uci_online_retail_n360_s61,8,6748.443465221075,clique,360,9.648210407356343e-07,0,6748.873219664619,0.5431247919332236,61,tolerance,27,6748.449976261322
application,second,uci_online_retail,uci_online_retail_n360_s61,8,6748.443465221075,clique,360,9.648210407356343e-07,1,6748.873219664619,0.5399125000694767,61,tolerance,27,6748.449976261322
application,first,uci_online_retail,uci_online_retail_n360_s61,8,6748.443465221075,clique,360,9.648210407356343e-07,2,6748.873219664619,0.5392010830109939,61,tolerance,27,6748.449976261322
application,first,uci_online_retail,uci_online_retail_n360_s62,9,6943.202224112984,compressed,360,2.873280316408734e-12,0,6943.205805699952,0.5660881669027731,62,tolerance,30,6943.202224132934
application,second,uci_online_retail,uci_online_retail_n360_s62,9,6943.202224112984,compressed,360,2.873280316408734e-12,1,6943.205805699952,0.5640249160351232,62,tolerance,30,6943.202224132934
application,first,uci_online_retail,uci_online_retail_n360_s62,9,6943.202224112984,compressed,360,2.873280316408734e-12,2,6943.205805699952,0.5663044999819249,62,tolerance,30,6943.202224132934
application,second,uci_online_retail,uci_online_retail_n360_s62,9,6943.202224112984,clique,360,6.241588752347321e-08,0,6944.581746937854,0.5839277079794556,62,tolerance,30,6943.202657479113
