all_compressed_bounds_certified,clique_matrix_nnz,clique_matrix_storage_bytes,clique_seconds,clique_solver_iterations,compressed_bound_le_clique_rate,compressed_seconds,family,instance,intervals,maximum_compressed_certificate_gap,maximum_compressed_scaled_certificate_gap,n,seed,speedup,theta_count
True,46597,579408,0.15332174999639392,5680,1.0,0.08499341690912843,dense_frontier,dense_frontier_n360_m6_g18_s51,7,8.006628559087403e-05,9.296585226595934e-09,360,51,1.8039250046897093,26
True,46597,579408,0.15449183399323374,5760,1.0,0.08512237505055964,dense_frontier,dense_frontier_n360_m6_g18_s52,7,8.026303294172976e-05,9.339699632243523e-09,360,52,1.8149380101468167,26
True,93179,1158552,0.36140816600527614,11215,1.0,0.1561484169214964,dense_frontier,dense_frontier_n720_m6_g26_s51,7,0.00016018664609873667,9.31445275739425e-09,720,51,2.314517003313419,26
True,93180,1158564,0.36180491698905826,11624,1.0,0.1554203339619562,dense_frontier,dense_frontier_n720_m6_g26_s52,7,0.00016024142678361386,9.323376684294063e-09,720,52,2.3279123636268912,26
True,186343,2316840,0.8687116249930114,22847,1.0,0.29352945799473673,dense_frontier,dense_frontier_n1440_m6_g37_s51,7,0.00031916057923808694,9.28905219194825e-09,1440,51,2.9595381360619286,26
True,186343,2316840,0.8798134999815375,22423,1.0,0.2955871670274064,dense_frontier,dense_frontier_n1440_m6_g37_s52,7,0.00032154240034287795,9.366568908182648e-09,1440,52,2.9764942396838308,26
True,46547,578808,0.22087608301080763,7401,1.0,0.08412999997381121,correlated_risk,correlated_risk_n360_m6_g18_s51,7,4.937586163578089e-05,6.581254251049703e-09,360,51,2.6254140387443723,26
True,46373,576720,0.21139137505088001,6885,1.0,0.0820979579584673,correlated_risk,correlated_risk_n360_m6_g18_s52,7,4.967604127159575e-05,6.601334397755297e-09,360,52,2.574867637485225,25
True,93097,1157568,0.5309575840365142,13241,1.0,0.14999612502288073,correlated_risk,correlated_risk_n720_m6_g26_s51,7,9.815056728257332e-05,6.525997709411153e-09,720,51,3.5398086714274837,26
True,93122,1157868,0.5339697919553146,13226,1.0,0.1493995840428397,correlated_risk,correlated_risk_n720_m6_g26_s52,7,9.953187509381678e-05,6.628289366145984e-09,720,52,3.574104943974951,26
True,186171,2314776,1.3321557079907507,25297,1.0,0.28049745794851333,correlated_risk,correlated_risk_n1440_m6_g37_s51,7,0.00019620955936261453,6.544117311625234e-09,1440,51,4.749261250828428,26
True,186116,2314116,1.4792996669420972,26200,1.0,0.28136366594117135,correlated_risk,correlated_risk_n1440_m6_g37_s52,7,0.00019620712555479258,6.541218982091717e-09,1440,52,5.2576073104314585,26
True,46591,579336,0.154750540968962,5960,1.0,0.08258462511003017,near_tie,near_tie_n360_m6_g18_s51,7,5.905310536036268e-05,9.15577820798484e-09,360,51,1.8738420228073065,26
True,46591,579336,0.15193641697987914,5795,1.0,0.0819420829648152,near_tie,near_tie_n360_m6_g18_s52,7,6.0350384046614636e-05,9.373016533508876e-09,360,52,1.8541927600878605,26
True,93175,1158504,0.3578353750053793,11399,1.0,0.15105833299458027,near_tie,near_tie_n720_m6_g26_s51,7,0.0001202008734253468,9.316863150552585e-09,720,51,2.368855579905134,26
True,93175,1158504,0.3479040829697624,11006,1.0,0.14997224998660386,near_tie,near_tie_n720_m6_g26_s52,7,0.00011858589641633444,9.23005180193485e-09,720,52,2.319789714436095,26
True,186343,2316840,0.8580435829935595,22647,1.0,0.2848631660453975,near_tie,near_tie_n1440_m6_g37_s51,7,0.0002445327954774257,9.505953247373455e-09,1440,51,3.0121254176358363,26
True,186343,2316840,0.8123634159564972,20529,1.0,0.28255524998530746,near_tie,near_tie_n1440_m6_g37_s52,7,0.0002459232055116445,9.562669534384429e-09,1440,52,2.8750604209220643,26
True,46803,581880,0.15398191707208753,6057,1.0,0.10401920904405415,many_breakpoints,many_breakpoints_n360_m6_g18_s51,7,5.3753161409986205e-05,7.0681209989113556e-09,360,51,1.4803219375266852,1801
True,46803,581880,0.15028075000736862,5699,1.0,0.10381995793431997,many_breakpoints,many_breakpoints_n360_m6_g18_s52,7,5.3906893299426883e-05,7.050618808917869e-09,360,52,1.4475131082449613,1801
True,93603,1163640,0.43559495790395886,13616,1.0,0.21641104202717543,many_breakpoints,many_breakpoints_n720_m6_g26_s51,7,0.00013179067536839284,9.217268132694799e-09,720,51,2.01281299615599,3601
True,93603,1163640,0.41884004103485495,12815,1.0,0.218919666018337,many_breakpoints,many_breakpoints_n720_m6_g26_s52,7,0.0001310651387029793,9.15905543948247e-09,720,52,1.9132134113514148,3601
True,187203,2327160,1.5542393330251798,31782,1.0,0.4769406249979511,many_breakpoints,many_breakpoints_n1440_m6_g37_s51,7,0.0002215830609202385,8.228344242046995e-09,1440,51,3.2587690197954027,7201
True,187203,2327160,1.5292041250504553,32274,1.0,0.475024624960497,many_breakpoints,many_breakpoints_n1440_m6_g37_s52,7,0.0002213378538726829,8.217426640318891e-09,1440,52,3.2192102150022723,7201
