execution_order,family,instance,method,n,repeat,seconds,seed
second,dense_frontier,dense_frontier_n360_m6_g18_s51,compressed,360,0,0.08499341690912843,51
first,dense_frontier,dense_frontier_n360_m6_g18_s51,compressed,360,1,0.08458866702858359,51
second,dense_frontier,dense_frontier_n360_m6_g18_s51,compressed,360,2,0.08676425006706268,51
first,dense_frontier,dense_frontier_n360_m6_g18_s51,clique,360,0,0.15480224997736514,51
second,dense_frontier,dense_frontier_n360_m6_g18_s51,clique,360,1,0.15332174999639392,51
first,dense_frontier,dense_frontier_n360_m6_g18_s51,clique,360,2,0.1527856249595061,51
first,dense_frontier,dense_frontier_n360_m6_g18_s52,compressed,360,0,0.08582195895723999,52
second,dense_frontier,dense_frontier_n360_m6_g18_s52,compressed,360,1,0.08512237505055964,52
first,dense_frontier,dense_frontier_n360_m6_g18_s52,compressed,360,2,0.08429025008808821,52
second,dense_frontier,dense_frontier_n360_m6_g18_s52,clique,360,0,0.15383937500882894,52
first,dense_frontier,dense_frontier_n360_m6_g18_s52,clique,360,1,0.15475424996111542,52
second,dense_frontier,dense_frontier_n360_m6_g18_s52,clique,360,2,0.15449183399323374,52
second,dense_frontier,dense_frontier_n720_m6_g26_s51,compressed,720,0,0.15454512496944517,51
first,dense_frontier,dense_frontier_n720_m6_g26_s51,compressed,720,1,0.15634379198309034,51
second,dense_frontier,dense_frontier_n720_m6_g26_s51,compressed,720,2,0.1561484169214964,51
first,dense_frontier,dense_frontier_n720_m6_g26_s51,clique,720,0,0.3624945420306176,51
second,dense_frontier,dense_frontier_n720_m6_g26_s51,clique,720,1,0.36057912500109524,51
first,dense_frontier,dense_frontier_n720_m6_g26_s51,clique,720,2,0.36140816600527614,51
first,dense_frontier,dense_frontier_n720_m6_g26_s52,compressed,720,0,0.1555276250001043,52
second,dense_frontier,dense_frontier_n720_m6_g26_s52,compressed,720,1,0.1554203339619562,52
first,dense_frontier,dense_frontier_n720_m6_g26_s52,compressed,720,2,0.15520183299668133,52
second,dense_frontier,dense_frontier_n720_m6_g26_s52,clique,720,0,0.36116766708437353,52
first,dense_frontier,dense_frontier_n720_m6_g26_s52,clique,720,1,0.36180491698905826,52
second,dense_frontier,dense_frontier_n720_m6_g26_s52,clique,720,2,0.36191220802720636,52
second,dense_frontier,dense_frontier_n1440_m6_g37_s51,compressed,1440,0,0.299014333053492,51
first,dense_frontier,dense_frontier_n1440_m6_g37_s51,compressed,1440,1,0.29352945799473673,51
second,dense_frontier,dense_frontier_n1440_m6_g37_s51,compressed,1440,2,0.2933607919840142,51
first,dense_frontier,dense_frontier_n1440_m6_g37_s51,clique,1440,0,0.8687116249930114,51
second,dense_frontier,dense_frontier_n1440_m6_g37_s51,clique,1440,1,0.8697027910966426,51
first,dense_frontier,dense_frontier_n1440_m6_g37_s51,clique,1440,2,0.8637673750054091,51
