family,groups,seed,envelope_seconds,envelope_status,envelope_certified,envelope_objective,envelope_upper_bound,envelope_relative_gap,envelope_nodes,envelope_theta_integer_solves,envelope_interval_bound_evaluations,envelope_interval_splits,envelope_thresholds_covered_by_prunes,clique_seconds,clique_status,clique_certified,clique_objective,clique_upper_bound,clique_relative_gap,clique_nodes,clique_theta_integer_solves,clique_interval_bound_evaluations,clique_interval_splits,clique_thresholds_covered_by_prunes,enumeration_seconds,enumeration_status,enumeration_certified,enumeration_objective,enumeration_upper_bound,enumeration_relative_gap,enumeration_nodes,enumeration_theta_integer_solves,enumeration_interval_bound_evaluations,enumeration_interval_splits,enumeration_thresholds_covered_by_prunes,scip_seconds,scip_status,scip_certified,scip_objective,scip_upper_bound,scip_relative_gap,scip_nodes,scip_theta_integer_solves,scip_interval_bound_evaluations,scip_interval_splits,scip_thresholds_covered_by_prunes,clique_over_envelope_speedup,enumeration_over_envelope_speedup,scip_over_envelope_speedup,maximum_certified_objective_difference
dense_frontier,30,0,0.1176735624903813,optimal,True,732.3416010978427,732.3416010978427,0.0,90,6,11,5,23,0.11131341656437144,optimal,True,732.3416010978427,732.3416010978427,0.0,90,6,11,5,23,0.11226018745219335,optimal,True,732.3416010978427,732.3416010978427,0.0,90,3,0,0,23,0.088177083467599,optimal,True,732.3416010978427,732.3416010978427,0.0,1,0,0,0,0,0.9459509358652268,0.9539966758580081,0.7493363980954231,0.0
dense_frontier,30,1,0.10464641643920913,optimal,True,731.600839350222,731.600839350222,0.0,60,5,11,5,24,0.10031981242354959,optimal,True,731.600839350222,731.600839350222,0.0,60,5,11,5,24,0.09983777097659186,optimal,True,731.600839350222,731.600839350222,0.0,60,2,0,0,24,0.033122604014351964,optimal,True,731.600839350222,731.600839350222,0.0,1,0,0,0,0,0.9586550198001961,0.9540486370557113,0.3165192382253571,0.0
dense_frontier,30,2,0.1770194795099087,optimal,True,729.9722532955037,729.9722532955037,0.0,177,8,19,9,21,0.1667485834332183,optimal,True,729.9722532955037,729.9722532955037,0.0,177,8,19,9,21,0.14543420897098258,optimal,True,729.9722532955037,729.9722532955037,0.0,177,4,0,0,21,0.3028185414732434,optimal,True,729.9722532955037,729.9722532955037,0.0,0,0,0,0,0,0.9419787240075153,0.8215717805386602,1.71065095384767,0.0
correlated_risk,30,0,3.3652418335550465,optimal,True,625.3359259271575,625.3359259271575,0.0,15250,4,16,8,20,3.333357207942754,optimal,True,625.3359259271575,625.3359259271575,0.0,15250,4,16,8,20,1.3900670000584796,optimal,True,625.3359259271575,625.3359259271575,0.0,6130,1,0,0,20,5.003178020531777,timelimit,False,624.8368302197953,625.8668383214726,0.001648443324499325,2480,0,0,0,0,0.9905253092677119,0.4130660050038694,1.486721688362709,0.0
correlated_risk,30,1,0.3173516249516979,optimal,True,631.8331448419336,631.8331448419336,0.0,1170,4,9,4,15,0.31824118742952123,optimal,True,631.8331448419336,631.8331448419336,0.0,1170,4,11,5,15,0.08696133352350444,optimal,True,631.8331448419336,631.8331448419336,0.0,166,1,0,0,15,1.2655078749521635,optimal,True,631.8331448419336,631.8331448419337,0.0,75,0,0,0,0,1.0028030815281275,0.27402202064268705,3.9877151255953978,0.0
correlated_risk,30,2,0.4920037499978207,optimal,True,629.6610215931211,629.6610215931211,0.0,2001,3,8,4,17,0.4796530624735169,optimal,True,629.6610215931211,629.6610215931211,0.0,2001,3,8,4,17,0.47974506253376603,optimal,True,629.6610215931211,629.6610215931211,0.0,2001,1,0,0,17,2.4863315624534152,optimal,True,629.6610215931211,629.6610215931211,0.0,1334,0,0,0,0,0.9748971679090688,0.9750841584762129,5.05348091851826,0.0
near_tie,30,0,0.15013620845275,optimal,True,528.7264751809771,528.7264751809771,0.0,138,8,22,11,20,0.13681720849126577,optimal,True,528.7264751809771,528.7264751809771,0.0,138,8,22,11,20,0.11158060451271012,optimal,True,528.7264751809771,528.7264751809771,0.0,138,3,0,0,20,3.1180550830322318,optimal,True,528.7264751809771,528.7264751809771,0.0,27,0,0,0,0,0.9112872231239548,0.7431958330546633,20.76817521346643,0.0
near_tie,30,1,0.22923054150305688,optimal,True,526.740624444015,526.740624444015,0.0,619,6,18,9,22,0.22030558355618268,optimal,True,526.740624444015,526.740624444015,0.0,619,6,18,9,22,0.1425877915462479,optimal,True,526.740624444015,526.740624444015,0.0,305,1,0,0,22,2.080362396023702,optimal,True,526.740624444015,526.740624444015,0.0,806,0,0,0,0,0.9610655810157165,0.6220278965067421,9.075415441515062,0.0
near_tie,30,2,0.32990870805224404,optimal,True,528.66922455503,528.66922455503,0.0,1233,6,18,9,22,0.31943114602472633,optimal,True,528.66922455503,528.66922455503,0.0,1233,6,18,9,22,0.11794799950439483,optimal,True,528.66922455503,528.66922455503,0.0,216,2,0,0,22,2.0163006460643373,optimal,True,528.66922455503,528.66922455503,0.0,269,0,0,0,0,0.9682410261633394,0.357517084652754,6.111692710290744,0.0
many_breakpoints,30,0,1.066054499533493,optimal,True,714.2396605336495,714.2396605336495,0.0,1952,34,73,36,120,1.0156777084921487,optimal,True,714.2396605336495,714.2396605336495,0.0,1952,34,73,36,120,1.047634291520808,optimal,True,714.2396605336495,714.2396605336496,0.0,1952,31,0,0,120,0.00945608300389722,optimal,True,714.2396605336496,714.2396605336495,0.0,1,0,0,0,0,0.9527446382306071,0.9827211385339625,0.008870168465153719,1.1368683772161603e-13
many_breakpoints,30,1,1.0906033960054629,optimal,True,711.1729335234375,711.1729335234375,0.0,1470,49,103,51,105,1.0273241874529049,optimal,True,711.1729335234375,711.1729335234375,0.0,1470,49,103,51,105,0.9790076669305563,optimal,True,711.1729335234375,711.1729335234375,0.0,1470,12,0,0,105,0.008167291525751352,optimal,True,711.1729335234375,711.1729335234376,0.0,1,0,0,0,0,0.9419777998268392,0.8976752415372568,0.007488782407670444,0.0
many_breakpoints,30,2,5.005362479481846,time_limit,False,707.3475634685924,713.2673186633164,0.008368948308375434,24328,2,1,0,0,5.005811770504806,time_limit,False,707.3475634685924,713.2673186632996,0.008368948308351809,24344,2,1,0,0,1.0475488749798387,optimal,True,712.9574507822524,712.9574507822524,0.0,1724,12,0,0,105,0.06676714593777433,optimal,True,712.9574507822524,712.9574507822524,0.0,64,0,0,0,0,1.0000897619352849,0.20928531735193745,0.01333912303284098,0.0
