family,groups,seed,repeat,order_index,method,status,certified,objective,upper_bound,relative_gap,seconds,nodes,theta_integer_solves,interval_bound_evaluations,interval_splits,thresholds_covered_by_prunes
dense_frontier,30,0,0,0,enumeration,optimal,True,732.3416010978427,732.3416010978427,0.0,0.11223179195076227,90,3,0,0,23
dense_frontier,30,0,0,1,scip,optimal,True,732.3416010978427,732.3416010978427,0.0,0.1048210000153631,1,0,0,0,0
dense_frontier,30,0,0,2,envelope,optimal,True,732.3416010978427,732.3416010978427,0.0,0.11683254200033844,90,6,11,5,23
dense_frontier,30,0,0,3,clique,optimal,True,732.3416010978427,732.3416010978427,0.0,0.11125525005627424,90,6,11,5,23
dense_frontier,30,0,1,0,scip,optimal,True,732.3416010978427,732.3416010978427,0.0,0.07153316691983491,1,0,0,0,0
dense_frontier,30,0,1,1,envelope,optimal,True,732.3416010978427,732.3416010978427,0.0,0.11851458298042417,90,6,11,5,23
dense_frontier,30,0,1,2,clique,optimal,True,732.3416010978427,732.3416010978427,0.0,0.11137158307246864,90,6,11,5,23
dense_frontier,30,0,1,3,enumeration,optimal,True,732.3416010978427,732.3416010978427,0.0,0.11228858295362443,90,3,0,0,23
dense_frontier,30,1,0,0,scip,optimal,True,731.600839350222,731.600839350222,0.0,0.033194624935276806,1,0,0,0,0
dense_frontier,30,1,0,1,envelope,optimal,True,731.600839350222,731.600839350222,0.0,0.10476716596167535,60,5,11,5,24
dense_frontier,30,1,0,2,clique,optimal,True,731.600839350222,731.600839350222,0.0,0.10060891590546817,60,5,11,5,24
dense_frontier,30,1,0,3,enumeration,optimal,True,731.600839350222,731.600839350222,0.0,0.10008429200388491,60,2,0,0,24
dense_frontier,30,1,1,0,envelope,optimal,True,731.600839350222,731.600839350222,0.0,0.10452566691674292,60,5,11,5,24
dense_frontier,30,1,1,1,clique,optimal,True,731.600839350222,731.600839350222,0.0,0.10003070894163102,60,5,11,5,24
