configuration,execution_order,family,instance,interval_splits,lower_bound,method,n,relative_gap,repeat,root_upper_bound,seconds,seed,status,theta_lp_evaluations,upper_bound
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=1000_seed=31,8,1898268.6718606784,compressed,1000,1.7845049727093904e-07,0,2053804.5657320584,0.7464097499614581,31,tolerance,27,1898269.0106076668
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=1000_seed=31,8,1898268.6718606784,compressed,1000,1.7845049727093904e-07,1,2053804.5657320584,0.7580874579725787,31,tolerance,27,1898269.0106076668
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=1000_seed=31,10,1898268.6718606784,clique,1000,5.758101364293096e-07,0,2190717.2842750717,1.3535486670443788,31,tolerance,33,1898269.7649030213
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=1000_seed=31,10,1898268.6718606784,clique,1000,5.758101364293096e-07,1,2190717.2842750717,1.2449579170206562,31,tolerance,33,1898269.7649030213
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=1000_seed=32,12,1893604.2620251337,compressed,1000,8.528663138106486e-08,0,2043562.5697986826,0.9967476249439642,32,tolerance,36,1893604.4235242624
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=1000_seed=32,12,1893604.2620251337,compressed,1000,8.528663138106486e-08,1,2043562.5697986826,0.9935971670784056,32,tolerance,36,1893604.4235242624
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=1000_seed=32,14,1893604.2620251337,clique,1000,8.528594012053863e-08,0,2184240.070268751,1.5653929169056937,32,tolerance,42,1893604.4235229534
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=1000_seed=32,14,1893604.2620251337,clique,1000,8.528594012053863e-08,1,2184240.070268751,1.564727875054814,32,tolerance,42,1893604.4235229534
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=1000_seed=33,13,1893232.7580066775,compressed,1000,9.340010277579279e-07,0,2042514.0780054985,0.9868531250394881,33,tolerance,36,1893234.5262880193
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=1000_seed=33,13,1893232.7580066775,compressed,1000,9.340010277579279e-07,1,2042514.0780054985,0.9874334170017391,33,tolerance,36,1893234.5262880193
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=1000_seed=33,16,1893232.7580066775,clique,1000,0.0,0,2182247.4279947886,1.6112122919876128,33,tolerance,43,1893232.7580066775
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=1000_seed=33,16,1893232.7580066775,clique,1000,0.0,1,2182247.4279947886,1.632703208946623,33,tolerance,43,1893232.7580066775
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=5000_seed=41,11,4119097.4147265838,compressed,5000,3.8149565124937023e-07,0,4561962.94670285,4.918838375015184,41,tolerance,36,4119098.9861443345
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=5000_seed=41,11,4119097.4147265838,compressed,5000,3.8149565124937023e-07,1,4561962.94670285,4.921010875026695,41,tolerance,36,4119098.9861443345
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=5000_seed=41,14,4119097.4147265838,clique,5000,6.723155280563447e-07,0,4748023.03229161,11.347312708036043,41,tolerance,45,4119100.1840597373
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=5000_seed=41,14,4119097.4147265838,clique,5000,6.723155280563447e-07,1,4748023.03229161,11.163732041954063,41,tolerance,45,4119100.1840597373
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=5000_seed=42,9,4108191.300052274,compressed,5000,8.757739042706528e-08,0,4557108.489505693,4.100491457968019,42,tolerance,30,4108191.6598369475
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=5000_seed=42,9,4108191.300052274,compressed,5000,8.757739042706528e-08,1,4557108.489505693,4.0905202919384465,42,tolerance,30,4108191.6598369475
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=5000_seed=42,12,4108191.300052274,clique,5000,3.587384675704891e-07,0,4741513.930070367,10.068364417064004,42,tolerance,39,4108192.7738185255
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=5000_seed=42,12,4108191.300052274,clique,5000,3.587384675704891e-07,1,4741513.930070367,10.076882416033186,42,tolerance,39,4108192.7738185255
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=5000_seed=43,9,4111811.217258406,compressed,5000,6.805438067266134e-07,0,4559658.10977378,4.189664792036638,43,tolerance,30,4111814.015526064
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=5000_seed=43,9,4111811.217258406,compressed,5000,6.805438067266134e-07,1,4559658.10977378,4.0840772920055315,43,tolerance,30,4111814.015526064
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=5000_seed=43,13,4111814.0155257587,clique,5000,8.665120343398116e-07,0,4748523.006014918,10.689756415900774,43,tolerance,42,4111817.578462086
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=5000_seed=43,13,4111814.0155257587,clique,5000,8.665120343398116e-07,1,4748523.006014918,10.814544832915999,43,tolerance,42,4111817.578462086
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=10000_seed=51,11,4328855.414934836,compressed,10000,4.96544950099669e-07,0,4756941.923023349,10.212130500003695,51,tolerance,35,4328857.564406132
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=10000_seed=51,11,4328855.414934836,compressed,10000,4.96544950099669e-07,1,4756941.923023349,10.339063665946014,51,tolerance,35,4328857.564406132
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=10000_seed=51,15,4328855.414934836,clique,10000,4.203239420201916e-07,0,4894158.362173978,29.002283417037688,51,tolerance,45,4328857.234456409
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=10000_seed=51,15,4328855.414934836,clique,10000,4.203239420201916e-07,1,4894158.362173978,27.402989499969408,51,tolerance,45,4328857.234456409
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=10000_seed=52,9,4338697.257928118,compressed,10000,9.864110399392978e-07,0,4758729.642167823,8.329912707908079,52,tolerance,30,4338701.537666992
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=10000_seed=52,9,4338697.257928118,compressed,10000,9.864110399392978e-07,1,4758729.642167823,8.420480374945328,52,tolerance,30,4338701.537666992
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=10000_seed=52,15,4338698.978533095,clique,10000,5.760183225737293e-08,0,4895289.295451231,27.157469957950525,52,tolerance,47,4338699.2284501055
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=10000_seed=52,15,4338698.978533095,clique,10000,5.760183225737293e-08,1,4895289.295451231,27.185632708016783,52,tolerance,47,4338699.2284501055
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=10000_seed=53,9,4339595.812811152,compressed,10000,9.087806499220513e-07,0,4763675.227427904,8.371382666984573,53,tolerance,30,4339599.756551855
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=10000_seed=53,9,4339595.812811152,compressed,10000,9.087806499220513e-07,1,4763675.227427904,8.296168499975465,53,tolerance,30,4339599.756551855
external_coefficient_transfer,first,rwth_knapsack,rwth_knapsack_n=10000_seed=53,15,4339595.812811152,clique,10000,3.4282084222661896e-08,0,4898033.725780949,27.012344207963906,53,tolerance,46,4339595.961581541
external_coefficient_transfer,second,rwth_knapsack,rwth_knapsack_n=10000_seed=53,15,4339595.812811152,clique,10000,3.4282084222661896e-08,1,4898033.725780949,26.94876929197926,53,tolerance,46,4339595.961581541
