configuration,execution_order,family,instance,interval_splits,lower_bound,method,n,relative_gap,repeat,root_upper_bound,seconds,seed,status,theta_lp_evaluations,upper_bound
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9029.819580624486,compressed,360,6.369611754318379e-13,0,9029.819580630237,0.1865507080219686,11,tolerance,12,9029.819580630237
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9029.819580624486,compressed,360,6.369611754318379e-13,1,9029.819580630237,0.18770783301442862,11,tolerance,12,9029.819580630237
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9029.819580624486,compressed,360,6.369611754318379e-13,2,9029.819580630237,0.18632995802909136,11,tolerance,12,9029.819580630237
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9029.819580624486,compressed,360,6.369611754318379e-13,3,9029.819580630237,0.18527891591656953,11,tolerance,12,9029.819580630237
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9029.819580624486,compressed,360,6.369611754318379e-13,4,9029.819580630237,0.18618620792403817,11,tolerance,12,9029.819580630237
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9029.819580624486,clique,360,1.4100974788181105e-15,0,9038.334587804695,0.2724440830061212,11,tolerance,12,9029.819580624498
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9029.819580624486,clique,360,1.4100974788181105e-15,1,9038.334587804695,0.2889949580421671,11,tolerance,12,9029.819580624498
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9029.819580624486,clique,360,1.4100974788181105e-15,2,9038.334587804695,0.2709332079393789,11,tolerance,12,9029.819580624498
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9029.819580624486,clique,360,1.4100974788181105e-15,3,9038.334587804695,0.27419737505260855,11,tolerance,12,9029.819580624498
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9029.819580624486,clique,360,1.4100974788181105e-15,4,9038.334587804695,0.2793156250845641,11,tolerance,12,9029.819580624498
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s12,3,9018.218983884999,compressed,360,2.884333205612636e-13,0,9018.2189838876,0.18666829098947346,12,tolerance,12,9018.2189838876
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s12,3,9018.218983884999,compressed,360,2.884333205612636e-13,1,9018.2189838876,0.18656937510240823,12,tolerance,12,9018.2189838876
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s12,3,9018.218983884999,compressed,360,2.884333205612636e-13,2,9018.2189838876,0.18524412508122623,12,tolerance,12,9018.2189838876
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s12,3,9018.218983884999,compressed,360,2.884333205612636e-13,3,9018.2189838876,0.1863625830737874,12,tolerance,12,9018.2189838876
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s12,3,9018.218983884999,compressed,360,2.884333205612636e-13,4,9018.2189838876,0.1871324999956414,12,tolerance,12,9018.2189838876
