configuration,execution_order,family,instance,interval_splits,lower_bound,method,n,relative_gap,repeat,root_upper_bound,seconds,seed,status,theta_lp_evaluations,upper_bound
stress,second,dense_frontier,dense_frontier_n2880_m6_g53_s41,0,72736.55841874774,compressed,2880,1.080341769551294e-14,0,72736.55841874852,0.37262062495574355,41,tolerance,3,72736.55841874852
stress,first,dense_frontier,dense_frontier_n2880_m6_g53_s41,0,72736.55841874774,compressed,2880,1.080341769551294e-14,1,72736.55841874852,0.3717259579570964,41,tolerance,3,72736.55841874852
stress,first,dense_frontier,dense_frontier_n2880_m6_g53_s41,2,72736.55841874774,clique,2880,0.0,0,72749.4486654535,2.4776125830831006,41,exact,9,72736.55841874774
stress,second,dense_frontier,dense_frontier_n2880_m6_g53_s41,2,72736.55841874774,clique,2880,0.0,1,72749.4486654535,2.4785901670111343,41,exact,9,72736.55841874774
stress,second,dense_frontier,dense_frontier_n5760_m6_g75_s41,0,145670.98003607706,compressed,5760,5.174601067712447e-14,0,145670.9800360846,0.7420949999941513,41,tolerance,3,145670.9800360846
stress,first,dense_frontier,dense_frontier_n5760_m6_g75_s41,0,145670.98003607706,compressed,5760,5.174601067712447e-14,1,145670.9800360846,0.7430987500119954,41,tolerance,3,145670.9800360846
stress,first,dense_frontier,dense_frontier_n5760_m6_g75_s41,2,145670.98003607706,clique,5760,2.4574360282958724e-14,0,145679.29548142126,6.682198625057936,41,tolerance,9,145670.98003608064
stress,second,dense_frontier,dense_frontier_n5760_m6_g75_s41,2,145670.98003607706,clique,5760,2.4574360282958724e-14,1,145679.29548142126,6.6797300829784945,41,tolerance,9,145670.98003608064
stress,second,correlated_risk,correlated_risk_n2880_m6_g53_s41,2,62744.693729770646,compressed,2880,0.0,0,62746.12776544895,1.0003793749492615,41,exact,9,62744.693729770646
stress,first,correlated_risk,correlated_risk_n2880_m6_g53_s41,2,62744.693729770646,compressed,2880,0.0,1,62746.12776544895,0.9935980420559645,41,exact,9,62744.693729770646
stress,first,correlated_risk,correlated_risk_n2880_m6_g53_s41,4,62744.693729770646,clique,2880,0.0,0,62861.04815103051,5.778847125009634,41,exact,15,62744.693729770646
stress,second,correlated_risk,correlated_risk_n2880_m6_g53_s41,4,62744.693729770646,clique,2880,0.0,1,62861.04815103051,5.78402904199902,41,exact,15,62744.693729770646
stress,second,correlated_risk,correlated_risk_n5760_m6_g75_s41,3,125648.56177700705,compressed,5760,1.0353809092736159e-13,0,125650.51743733294,2.6213093750411645,41,tolerance,12,125648.56177702006
stress,first,correlated_risk,correlated_risk_n5760_m6_g75_s41,3,125648.56177700705,compressed,5760,1.0353809092736159e-13,1,125650.51743733294,2.6233437500195578,41,tolerance,12,125648.56177702006
stress,first,correlated_risk,correlated_risk_n5760_m6_g75_s41,3,125648.56177700705,clique,5760,3.474432581455087e-14,0,125800.35020056929,20.318001208011992,41,tolerance,12,125648.56177701142
stress,second,correlated_risk,correlated_risk_n5760_m6_g75_s41,3,125648.56177700705,clique,5760,3.474432581455087e-14,1,125800.35020056929,20.380314666079357,41,tolerance,12,125648.56177701142
stress,second,near_tie,near_tie_n2880_m6_g53_s41,0,53334.39883924366,compressed,2880,7.598676425163285e-14,0,53334.39883924771,0.3611490410985425,41,tolerance,3,53334.39883924771
stress,first,near_tie,near_tie_n2880_m6_g53_s41,0,53334.39883924366,compressed,2880,7.598676425163285e-14,1,53334.39883924771,0.36060741706751287,41,tolerance,3,53334.39883924771
stress,first,near_tie,near_tie_n2880_m6_g53_s41,3,53334.39883924366,clique,2880,2.810282483992166e-14,0,53351.303891355354,2.8383374999975786,41,tolerance,12,53334.39883924516
stress,second,near_tie,near_tie_n2880_m6_g53_s41,3,53334.39883924366,clique,2880,2.810282483992166e-14,1,53351.303891355354,2.850548000074923,41,tolerance,12,53334.39883924516
stress,second,near_tie,near_tie_n5760_m6_g75_s41,0,107178.38889048809,compressed,5760,5.987582648090463e-14,0,107178.3888904945,0.7187643750803545,41,tolerance,3,107178.3888904945
stress,first,near_tie,near_tie_n5760_m6_g75_s41,0,107178.38889048809,compressed,5760,5.987582648090463e-14,1,107178.3888904945,0.7238585420418531,41,tolerance,3,107178.3888904945
stress,first,near_tie,near_tie_n5760_m6_g75_s41,2,107178.38889048809,clique,5760,0.0,0,107193.47655153857,6.09027291694656,41,exact,9,107178.38889048809
stress,second,near_tie,near_tie_n5760_m6_g75_s41,2,107178.38889048809,clique,5760,0.0,1,107193.47655153857,6.083232749952003,41,exact,9,107178.38889048809
stress,second,many_breakpoints,many_breakpoints_n2880_m6_g53_s41,9,64202.24096847564,compressed,2880,1.6999307589020235e-14,0,64202.24096847673,4.449668833054602,41,tolerance,30,64202.24096847673
stress,first,many_breakpoints,many_breakpoints_n2880_m6_g53_s41,9,64202.24096847564,compressed,2880,1.6999307589020235e-14,1,64202.24096847673,4.450416291947477,41,tolerance,30,64202.24096847673
stress,first,many_breakpoints,many_breakpoints_n2880_m6_g53_s41,9,64202.24096847564,clique,2880,1.6999307589020235e-14,0,64897.66054491806,9.300427375012077,41,tolerance,30,64202.24096847673
stress,second,many_breakpoints,many_breakpoints_n2880_m6_g53_s41,9,64202.24096847564,clique,2880,1.6999307589020235e-14,1,64897.66054491806,9.333430083002895,41,tolerance,30,64202.24096847673
stress,second,many_breakpoints,many_breakpoints_n5760_m6_g75_s41,9,123881.34172795448,compressed,5760,7.025790014214886e-07,0,123881.42876438385,9.017780875088647,41,tolerance,30,123881.42876438385
stress,first,many_breakpoints,many_breakpoints_n5760_m6_g75_s41,9,123881.34172795448,compressed,5760,7.025790014214886e-07,1,123881.42876438385,9.08113654202316,41,tolerance,30,123881.42876438385
stress,first,many_breakpoints,many_breakpoints_n5760_m6_g75_s41,9,123881.34172795448,clique,5760,7.025790072948166e-07,0,126803.57999599884,31.083340291981585,41,tolerance,30,123881.42876438457
stress,second,many_breakpoints,many_breakpoints_n5760_m6_g75_s41,9,123881.34172795448,clique,5760,7.025790072948166e-07,1,126803.57999599884,31.072295458987355,41,tolerance,30,123881.42876438457
